campaign_id,campaign_name,date_sent,subject_line,platform,country,recipient_count,delivered_count,opened_count,clicked_count,bounced_count,unsubscribe_count,spam_report_count,conversions
campaign_18,Campaign 18 - Almost Promotion,2024-08-02,Welcome to Our Newsletter,Instagram Ads,Australia,27462,14523,207,171,517,136,193,654
campaign_13,Campaign 13 - Wait Promotion,2024-08-02,Last Chance to Save Big!,,United States,51010,4564,2839,1828,888,394,167,960
campaign_20,Campaign 20 - Better Promotion,2024-08-02,Don't Miss Out on Our Summer Sale,,France,26774,9092,4596,1179,770,278,2,298
campaign_49,Campaign 49 - Source Promotion,2024-08-02,Limited Time Discount Inside,Email Campaign,Brazil,18980,12293,2823,2490,758,65,23,79
campaign_38,Campaign 38 - True Promotion,2024-08-02,Special Invitation: Join Us Today,LinkedIn Ads,Australia,45059,16705,16259,15737,706,289,59,54
campaign_45,Campaign 45 - Grow Promotion,2024-08-02,Special Invitation: Join Us Today,,Japan,45521,32275,26586,7126,384,79,148,186
campaign_29,Campaign 29 - Rate Promotion,2024-08-02,Special Invitation: Join Us Today,,Brazil,76324,60497,-42948,-736,789,217,162,836
campaign_2,Campaign 2 - Brother Promotion,2024-09-02,Exclusive Offer Just for You!,Email Campaign,Brazil,34862,19005,17028,2855,416,388,121,512
campaign_38,Campaign 38 - True Promotion,2024-09-02,Limited Time Discount Inside,Facebook Ads,Australia,43613,25720,22392,21779,650,199,170,688
campaign_41,Campaign 41 - Sure Promotion,2024-09-02,Thank You for Being a Loyal Customer,Insta Ads,India,76424,29952,7383,5030,378,440,129,737
campaign_44,Campaign 44 - Knowledge Promotion,2024-09-02,Special Invitation: Join Us Today,Instagram Ads,Japan,18827,16301,8342,5425,906,2,124,978
campaign_13,Campaign 13 - Wait Promotion,2024-09-02,Special Invitation: Join Us Today,Insta Ads,China,89866,82888,54800,10060,319,168,33,151
campaign_19,Campaign 19 - All Promotion,2024-09-02,Special Invitation: Join Us Today,Instagram Ads,Brazil,67160,59873,9863,5378,639,209,101,56
campaign_5,Campaign 5 - Face Promotion,2024-09-02,Unlock Your Premium Features,LinkedIn Ads,China,53610,3869,3022,1990,152,263,156,412
campaign_21,Campaign 21 - Discover Promotion,2024-09-02,Exclusive Offer Just for You!,Facebook Ads,Germany,-35875,-996,-107,-731,42,267,96,995
campaign_14,Campaign 14 - Offer Promotion,2024-09-02,Unlock Your Premium Features,Facebook Ads,China,94311,64683,39164,36428,455,489,153,843
campaign_12,Campaign 12 - Sit Promotion,2024-10-02,Special Invitation: Join Us Today,Instagram Ads,United Kingdom,42088,19994,19937,8938,799,185,133,433
campaign_18,Campaign 18 - Almost Promotion,2024-10-02,Welcome to Our Newsletter,Email Campaign,United States,44077,8894,1837,364,471,337,160,618
campaign_19,Campaign 19 - All Promotion,2024-10-02,Exclusive Offer Just for You!,LinkedIn Ads,India,38294,10073,8614,1774,596,398,25,445
campaign_11,Campaign 11 - Require Promotion,2024-10-02,Your Feedback Matters,Email Campaign,France,45520,30971,29477,946,264,324,56,245
campaign_27,Campaign 27 - Decide Promotion,2024-10-02,,GAds,United States,86594,80591,-40325,-632,856,91,4,487
campaign_4,Campaign 4 - Site Promotion,2024-10-02,Welcome to Our Newsletter,GAds,Australia,15869,3948,1685,291,266,109,73,512
campaign_46,Campaign 46 - Fall Promotion,2024-10-02,Special Invitation: Join Us Today,LinkedIn Ads,France,1446,963,147,130,834,224,16,968
campaign_27,Campaign 27 - Decide Promotion,2024-10-02,Unlock Your Premium Features,Facebook Ads,Brazil,70174,62809,34200,17691,589,124,196,246
campaign_38,Campaign 38 - True Promotion,2024-10-02,Welcome to Our Newsletter,LinkedIn Ads,United States,6269,2947,395,118,283,294,-53,859
campaign_13,Campaign 13 - Wait Promotion,2024-10-02,Welcome to Our Newsletter,Instagram Ads,China,49114,17274,9940,6600,222,370,123,855
campaign_10,Campaign 10 - Blue Promotion,2024-10-02,Unlock Your Premium Features,FB Ads,Japan,25100,17452,13319,3674,679,184,192,496
campaign_1,Campaign 1 - Purpose Promotion,2024-08-03,Special Invitation: Join Us Today,LinkedIn Ads,India,61332,54674,15015,10863,336,35,71,531
campaign_44,Campaign 44 - Knowledge Promotion,2024-08-03,Unlock Your Premium Features,Email Campaign,Australia,6946,5043,4834,3057,0,9,12,418
campaign_24,Campaign 24 - Play Promotion,2024-08-03,Your Feedback Matters,GAds,China,94232,1185,404,125,399,407,122,125
campaign_8,Campaign 8 - Chair Promotion,2024-08-03,,Insta Ads,United States,55266,25719,12399,7905,591,351,115,876
campaign_1,Campaign 1 - Purpose Promotion,2024-08-03,Welcome to Our Newsletter,Instagram Ads,United States,80276,45842,41665,33172,927,26,108,55
campaign_25,Campaign 25 - Agreement Promotion,2024-08-03,Last Chance to Save Big!,Instagram Ads,Canada,95641,59378,49060,20939,621,102,95,849
campaign_17,Campaign 17 - Knowledge Promotion,2024-08-03,Welcome to Our Newsletter,FB Ads,Brazil,53990,28733,9226,4522,820,204,170,424
campaign_14,Campaign 14 - Offer Promotion,2024-08-03,Special Invitation: Join Us Today,FB Ads,India,10296,9628,6873,2046,997,33,177,813
campaign_34,Campaign 34 - List Promotion,2024-09-03,Limited Time Discount Inside,GAds,China,22137,2957,347,270,782,228,-190,336
campaign_29,Campaign 29 - Rate Promotion,2024-09-03,Special Invitation: Join Us Today,LinkedIn Ads,Germany,24462,1249,839,55,336,188,128,631
campaign_4,Campaign 4 - Site Promotion,2024-09-03,New Arrivals Available Now,Instagram Ads,China,20194,6585,6327,667,791,237,194,707
campaign_23,Campaign 23 - Mouth Promotion,2024-09-03,,Google Ads,Canada,45845,40030,28564,9297,779,316,130,297
campaign_9,Campaign 9 - Since Promotion,2024-09-03,Special Invitation: Join Us Today,Email Campaign,Brazil,37099,27227,10962,857,942,190,77,873
campaign_22,Campaign 22 - Early Promotion,2024-10-03,Exclusive Offer Just for You!,Email Campaign,United Kingdom,76649,64134,9591,3255,9,438,173,889
campaign_16,Campaign 16 - Performance Promotion,2024-10-03,Limited Time Discount Inside,FB Ads,Germany,36043,28617,2176,1903,539,240,173,931
campaign_20,Campaign 20 - Better Promotion,2024-10-03,Exclusive Offer Just for You!,Email Campaign,United States,52891,28754,18822,12308,86,43,132,607
campaign_36,Campaign 36 - Fall Promotion,2024-10-03,Unlock Your Premium Features,GAds,Germany,27965,21656,6099,4121,401,138,117,159
campaign_48,Campaign 48 - Dinner Promotion,2024-08-04,Special Invitation: Join Us Today,GAds,United States,85678,26112,24349,22737,200,148,113,863
campaign_8,Campaign 8 - Chair Promotion,2024-08-04,Limited Time Discount Inside,,France,2610,1866,407,68,935,335,82,947
campaign_28,Campaign 28 - Sense Promotion,2024-08-04,Welcome to Our Newsletter,Facebook Ads,France,53178,51604,32158,22568,297,110,200,585
campaign_47,Campaign 47 - Clearly Promotion,2024-08-04,Limited Time Discount Inside,Insta Ads,Canada,70306,52228,38264,30940,568,497,146,977
campaign_30,Campaign 30 - Science Promotion,2024-08-04,Thank You for Being a Loyal Customer,LinkedIn Ads,India,40316,39023,7408,3676,199,325,116,267
campaign_27,Campaign 27 - Decide Promotion,2024-08-04,Limited Time Discount Inside,Insta Ads,India,47135,5909,5452,1937,428,423,32,260
campaign_7,Campaign 7 - Dog Promotion,2024-08-04,New Arrivals Available Now,Instagram Ads,India,93535,81441,17656,7867,187,72,107,598
campaign_37,Campaign 37 - Table Promotion,2024-08-04,Thank You for Being a Loyal Customer,Email Campaign,Canada,64077,19138,11773,5837,825,483,4,645
campaign_24,Campaign 24 - Play Promotion,2024-08-04,Limited Time Discount Inside,FB Ads,Germany,44741,6457,5052,3561,614,217,170,649
campaign_17,Campaign 17 - Knowledge Promotion,2024-08-04,New Arrivals Available Now,Google Ads,Australia,56374,28501,22905,778,386,165,125,701
campaign_16,Campaign 16 - Performance Promotion,2024-08-04,Exclusive Offer Just for You!,Email Campaign,United Kingdom,25182,24071,10485,2473,552,273,6,521
campaign_48,Campaign 48 - Dinner Promotion,2024-08-04,New Arrivals Available Now,Insta Ads,United States,53620,1452,1293,719,550,158,192,866
campaign_7,Campaign 7 - Dog Promotion,2024-08-04,Exclusive Offer Just for You!,Instagram Ads,China,98057,23765,10945,7620,414,95,110,765
campaign_49,Campaign 49 - Source Promotion,2024-08-04,Unlock Your Premium Features,Facebook Ads,United Kingdom,8174,1327,196,73,465,241,93,375
campaign_1,Campaign 1 - Purpose Promotion,2024-09-04,Unlock Your Premium Features,Instagram Ads,United Kingdom,32029,27110,13610,12117,801,410,188,283
campaign_16,Campaign 16 - Performance Promotion,2024-09-04,Special Invitation: Join Us Today,Insta Ads,Germany,42193,8129,4161,2411,41,252,72,763
campaign_16,Campaign 16 - Performance Promotion,2024-09-04,Special Invitation: Join Us Today,Insta Ads,Germany,42193,8129,4161,2411,41,252,72,763
campaign_10,Campaign 10 - Blue Promotion,2024-09-04,Unlock Your Premium Features,Insta Ads,Germany,70979,56263,34357,25010,686,136,41,709
campaign_32,Campaign 32 - Kind Promotion,2024-09-04,Unlock Your Premium Features,Google Ads,China,48534,46361,34891,10453,169,439,192,563
campaign_11,Campaign 11 - Require Promotion,2024-09-04,Unlock Your Premium Features,GAds,Australia,13190,13168,1345,415,362,293,191,941
campaign_42,Campaign 42 - Collection Promotion,2024-09-04,Welcome to Our Newsletter,Google Ads,Canada,99383,6200,2378,1017,660,293,146,481
campaign_4,Campaign 4 - Site Promotion,2024-09-04,Unlock Your Premium Features,Email Campaign,India,63722,54082,47026,30044,206,102,80,537
campaign_9,Campaign 9 - Since Promotion,2024-10-04,Unlock Your Premium Features,Google Ads,United Kingdom,84928,70988,6386,5404,49,213,31,495
campaign_42,Campaign 42 - Collection Promotion,2024-10-04,Exclusive Offer Just for You!,GAds,China,15029,5177,1399,1343,227,443,63,27
campaign_37,Campaign 37 - Table Promotion,2024-10-04,Your Feedback Matters,GAds,France,61599,17938,16971,7383,32,173,177,473
campaign_44,Campaign 44 - Knowledge Promotion,2024-10-04,Special Invitation: Join Us Today,Google Ads,Australia,7039,6375,2300,103,402,153,181,870
campaign_7,Campaign 7 - Dog Promotion,2024-10-04,New Arrivals Available Now,Insta Ads,Japan,19249,7681,4770,2352,172,360,146,888
campaign_44,Campaign 44 - Knowledge Promotion,2024-10-04,Thank You for Being a Loyal Customer,Facebook Ads,China,15775,11705,592,210,580,88,131,738
campaign_9,Campaign 9 - Since Promotion,2024-08-05,Exclusive Offer Just for You!,Email Campaign,Australia,63204,23821,8575,1530,395,437,54,672
campaign_11,Campaign 11 - Require Promotion,2024-08-05,Don't Miss Out on Our Summer Sale,Google Ads,China,89940,69325,5793,3564,821,393,150,939
campaign_46,Campaign 46 - Fall Promotion,2024-08-05,Don't Miss Out on Our Summer Sale,LinkedIn Ads,China,88223,45926,36459,17518,103,435,10,514
campaign_31,Campaign 31 - Offer Promotion,2024-08-05,Thank You for Being a Loyal Customer,FB Ads,Germany,28568,27107,15762,1884,16,-411,25,978
campaign_16,Campaign 16 - Performance Promotion,2024-08-05,Limited Time Discount Inside,LinkedIn Ads,China,28504,3475,3225,368,-495,21,8,535
campaign_13,Campaign 13 - Wait Promotion,2024-08-05,Don't Miss Out on Our Summer Sale,FB Ads,United Kingdom,93704,67965,21058,12521,174,289,38,158
campaign_41,Campaign 41 - Sure Promotion,2024-08-05,Thank You for Being a Loyal Customer,LinkedIn Ads,United Kingdom,95004,74888,24498,1009,176,489,157,431
campaign_26,Campaign 26 - Option Promotion,2024-08-05,Unlock Your Premium Features,Email Campaign,China,67296,8194,2556,803,861,133,174,683
campaign_7,Campaign 7 - Dog Promotion,2024-09-05,Unlock Your Premium Features,,Australia,72611,56625,54499,16272,33,178,22,130
campaign_12,Campaign 12 - Sit Promotion,2024-09-05,Limited Time Discount Inside,LinkedIn Ads,Germany,11480,11368,9242,6864,813,421,135,82
campaign_41,Campaign 41 - Sure Promotion,2024-09-05,Special Invitation: Join Us Today,Google Ads,France,23710,2357,2102,1957,518,224,53,749
campaign_26,Campaign 26 - Option Promotion,2024-09-05,Special Invitation: Join Us Today,FB Ads,Canada,96679,96357,65134,13647,485,182,143,830
campaign_1,Campaign 1 - Purpose Promotion,2024-09-05,Last Chance to Save Big!,LinkedIn Ads,United Kingdom,11458,2554,1957,797,363,136,174,633
campaign_34,Campaign 34 - List Promotion,2024-09-05,Last Chance to Save Big!,GAds,Brazil,42820,32386,9938,5185,762,300,176,486
campaign_30,Campaign 30 - Science Promotion,2024-09-05,Special Invitation: Join Us Today,LinkedIn Ads,Germany,28536,11714,1313,1056,775,151,84,726
campaign_43,Campaign 43 - Save Promotion,2024-09-05,Thank You for Being a Loyal Customer,Google Ads,United Kingdom,41438,15365,8397,523,248,189,103,812
campaign_23,Campaign 23 - Mouth Promotion,2024-09-05,Last Chance to Save Big!,GAds,Canada,51338,7870,6183,386,934,418,180,111
campaign_11,Campaign 11 - Require Promotion,2024-09-05,Welcome to Our Newsletter,Email Campaign,Canada,48020,32814,5859,721,879,456,67,651
campaign_41,Campaign 41 - Sure Promotion,2024-09-05,Unlock Your Premium Features,Insta Ads,United Kingdom,75870,43555,6013,5536,391,283,26,572
campaign_47,Campaign 47 - Clearly Promotion,2024-09-05,Unlock Your Premium Features,FB Ads,Australia,30004,8201,4611,1726,187,208,171,44
campaign_2,Campaign 2 - Brother Promotion,2024-09-05,Thank You for Being a Loyal Customer,GAds,China,71539,61831,48008,21172,850,142,62,593
campaign_18,Campaign 18 - Almost Promotion,2024-10-05,Special Invitation: Join Us Today,FB Ads,Germany,57899,6991,2899,2820,702,476,161,95
campaign_6,Campaign 6 - Election Promotion,2024-10-05,New Arrivals Available Now,LinkedIn Ads,United Kingdom,37064,12377,7099,434,964,195,81,428
campaign_39,Campaign 39 - According Promotion,2024-10-05,Don't Miss Out on Our Summer Sale,Google Ads,Canada,90144,49122,22761,1948,618,63,163,303
campaign_23,Campaign 23 - Mouth Promotion,2024-10-05,Exclusive Offer Just for You!,,Japan,72089,45253,5668,3985,913,83,122,67
campaign_15,Campaign 15 - Begin Promotion,2024-10-05,Last Chance to Save Big!,Insta Ads,United Kingdom,97721,43398,37846,21125,812,23,85,290
campaign_7,Campaign 7 - Dog Promotion,2024-10-05,Don't Miss Out on Our Summer Sale,FB Ads,United States,18299,14690,11289,7767,788,300,67,954
campaign_18,Campaign 18 - Almost Promotion,2024-10-05,Your Feedback Matters,Google Ads,France,31781,12509,11090,9851,829,129,97,414
campaign_42,Campaign 42 - Collection Promotion,2024-10-05,Unlock Your Premium Features,Email Campaign,India,15674,8181,6087,4175,987,338,18,960
campaign_30,Campaign 30 - Science Promotion,2024-10-05,Exclusive Offer Just for You!,GAds,Germany,49608,47679,47013,41592,730,150,177,632
campaign_46,Campaign 46 - Fall Promotion,2024-10-05,Limited Time Discount Inside,Email Campaign,India,77619,71320,9411,2702,91,452,190,315
campaign_27,Campaign 27 - Decide Promotion,2024-08-06,Exclusive Offer Just for You!,,Canada,10570,9572,7019,3345,247,60,86,641
campaign_3,Campaign 3 - Ago Promotion,2024-08-06,Unlock Your Premium Features,GAds,India,34681,32478,9771,5599,479,72,57,751
campaign_45,Campaign 45 - Grow Promotion,2024-08-06,Exclusive Offer Just for You!,FB Ads,Japan,30576,18946,-6294,-491,172,407,169,371
campaign_39,Campaign 39 - According Promotion,2024-08-06,New Arrivals Available Now,Insta Ads,United States,41577,17405,1436,647,646,181,95,897
campaign_19,Campaign 19 - All Promotion,2024-08-06,Thank You for Being a Loyal Customer,Facebook Ads,France,60694,49822,36736,7833,418,189,10,130
campaign_20,Campaign 20 - Better Promotion,2024-08-06,Limited Time Discount Inside,FB Ads,Brazil,57300,16926,6296,2459,335,322,32,608
campaign_46,Campaign 46 - Fall Promotion,2024-08-06,Welcome to Our Newsletter,Instagram Ads,United States,14531,12661,12540,1582,907,129,0,854
campaign_1,Campaign 1 - Purpose Promotion,2024-08-06,Your Feedback Matters,Insta Ads,Australia,15663,15368,2542,1562,151,21,10,225
campaign_28,Campaign 28 - Sense Promotion,2024-08-06,Last Chance to Save Big!,Google Ads,Germany,12829,6360,4629,453,370,80,101,244
campaign_48,Campaign 48 - Dinner Promotion,2024-08-06,Exclusive Offer Just for You!,Facebook Ads,India,77221,3047,3039,719,135,451,112,749
campaign_36,Campaign 36 - Fall Promotion,2024-08-06,Limited Time Discount Inside,GAds,Japan,60630,8100,1427,136,386,147,125,414
campaign_5,Campaign 5 - Face Promotion,2024-08-06,New Arrivals Available Now,LinkedIn Ads,United Kingdom,36058,10132,4854,3475,886,416,147,204
campaign_29,Campaign 29 - Rate Promotion,2024-08-06,New Arrivals Available Now,Facebook Ads,Australia,19541,15931,7646,-1258,176,41,52,751
campaign_22,Campaign 22 - Early Promotion,2024-08-06,,Instagram Ads,Germany,19700,9661,6164,2090,428,93,90,524
campaign_46,Campaign 46 - Fall Promotion,2024-09-06,Last Chance to Save Big!,Email Campaign,Germany,32395,-29411,-382,-189,795,60,98,843
campaign_28,Campaign 28 - Sense Promotion,2024-09-06,New Arrivals Available Now,LinkedIn Ads,Canada,5728,5213,3359,223,308,323,63,777
campaign_46,Campaign 46 - Fall Promotion,2024-09-06,Last Chance to Save Big!,LinkedIn Ads,Australia,20445,15406,10191,8605,178,-186,176,925
campaign_16,Campaign 16 - Performance Promotion,2024-09-06,Thank You for Being a Loyal Customer,,France,51446,22717,9818,4470,627,406,175,911
campaign_21,Campaign 21 - Discover Promotion,2024-09-06,Don't Miss Out on Our Summer Sale,FB Ads,Germany,22605,17482,975,761,472,381,49,20
campaign_19,Campaign 19 - All Promotion,2024-09-06,Your Feedback Matters,,China,78283,40898,14228,12168,125,34,106,327
campaign_27,Campaign 27 - Decide Promotion,2024-09-06,New Arrivals Available Now,Google Ads,France,13057,4621,4492,172,255,39,112,54
campaign_21,Campaign 21 - Discover Promotion,2024-09-06,Exclusive Offer Just for You!,GAds,United Kingdom,66480,14244,13064,9375,982,166,178,956
campaign_16,Campaign 16 - Performance Promotion,2024-09-06,Don't Miss Out on Our Summer Sale,Facebook Ads,Japan,24437,3421,1230,353,895,487,75,708
campaign_38,Campaign 38 - True Promotion,2024-09-06,Unlock Your Premium Features,GAds,Brazil,3660,1338,679,300,684,438,135,652
campaign_22,Campaign 22 - Early Promotion,2024-10-06,Limited Time Discount Inside,Facebook Ads,Canada,54317,42854,21957,4844,231,50,56,117
campaign_13,Campaign 13 - Wait Promotion,2024-10-06,Thank You for Being a Loyal Customer,Insta Ads,China,19024,8314,345,261,687,387,45,459
campaign_30,Campaign 30 - Science Promotion,2024-10-06,New Arrivals Available Now,LinkedIn Ads,Japan,10154,-1429,-798,-743,532,441,200,276
campaign_30,Campaign 30 - Science Promotion,2024-10-06,Your Feedback Matters,LinkedIn Ads,Canada,9345,3071,349,174,595,50,200,818
campaign_32,Campaign 32 - Kind Promotion,2024-10-06,Limited Time Discount Inside,LinkedIn Ads,United Kingdom,76269,61224,32680,2168,175,229,14,498
campaign_30,Campaign 30 - Science Promotion,2024-10-06,Unlock Your Premium Features,Google Ads,Canada,53218,48423,23914,16812,450,63,67,603
campaign_31,Campaign 31 - Offer Promotion,2024-10-06,Exclusive Offer Just for You!,GAds,Canada,87032,81327,12735,12317,584,112,36,94
campaign_11,Campaign 11 - Require Promotion,2024-10-06,Don't Miss Out on Our Summer Sale,FB Ads,China,64113,32293,5383,3416,44,303,161,922
campaign_17,Campaign 17 - Knowledge Promotion,2024-08-07,Your Feedback Matters,Facebook Ads,Germany,65297,45816,30890,28045,57,253,96,371
campaign_35,Campaign 35 - Perform Promotion,2024-08-07,Welcome to Our Newsletter,Google Ads,Canada,49060,29078,17308,12118,108,17,142,78
campaign_47,Campaign 47 - Clearly Promotion,2024-08-07,Exclusive Offer Just for You!,Instagram Ads,China,10321,9028,1571,200,585,366,158,554
campaign_39,Campaign 39 - According Promotion,2024-08-07,,LinkedIn Ads,France,29902,3828,2659,1779,559,389,42,877
campaign_21,Campaign 21 - Discover Promotion,2024-08-07,Limited Time Discount Inside,Facebook Ads,Canada,28862,2832,885,468,934,444,20,396
campaign_37,Campaign 37 - Table Promotion,2024-08-07,Limited Time Discount Inside,GAds,France,95474,5939,5273,2859,381,53,128,161
campaign_21,Campaign 21 - Discover Promotion,2024-08-07,New Arrivals Available Now,Email Campaign,Canada,72883,58273,53867,10625,18,90,136,182
campaign_39,Campaign 39 - According Promotion,2024-08-07,,LinkedIn Ads,France,29902,3828,2659,1779,559,389,42,877
campaign_24,Campaign 24 - Play Promotion,2024-08-07,Don't Miss Out on Our Summer Sale,FB Ads,United States,53551,41511,8553,8446,974,42,129,908
campaign_1,Campaign 1 - Purpose Promotion,2024-08-07,Limited Time Discount Inside,Insta Ads,Japan,53350,9965,1589,274,163,216,98,489
campaign_7,Campaign 7 - Dog Promotion,2024-08-07,Your Feedback Matters,Insta Ads,Canada,10694,8751,8400,6903,809,359,137,946
campaign_42,Campaign 42 - Collection Promotion,2024-08-07,Exclusive Offer Just for You!,Facebook Ads,Australia,51145,9387,785,82,740,380,194,264
campaign_24,Campaign 24 - Play Promotion,2024-08-07,Your Feedback Matters,Insta Ads,China,30437,5415,1272,103,434,359,148,867
campaign_49,Campaign 49 - Source Promotion,2024-08-07,,Google Ads,Japan,-72350,-922,-377,-597,367,394,142,596
campaign_47,Campaign 47 - Husband Blitz,2024-08-07,Super Sale! Unbeatable Prices Inside!,Facebook Ads,China,477897,296143,264575,81264,4779,31,5,6553
campaign_50,Campaign 50 - Great Promotion,2024-09-07,Thank You for Being a Loyal Customer,Insta Ads,France,78658,78081,40783,26005,619,454,110,937
campaign_40,Campaign 40 - Song Promotion,2024-09-07,Don't Miss Out on Our Summer Sale,FB Ads,China,65978,64891,8047,3715,683,157,12,182
campaign_22,Campaign 22 - Early Promotion,2024-09-07,Don't Miss Out on Our Summer Sale,Insta Ads,Canada,86615,2420,438,378,521,300,146,720
campaign_28,Campaign 28 - Sense Promotion,2024-09-07,Special Invitation: Join Us Today,GAds,France,11030,7705,6183,5005,97,405,155,813
campaign_39,Campaign 39 - According Promotion,2024-09-07,Limited Time Discount Inside,GAds,India,89211,53339,19443,17145,685,157,40,910
campaign_16,Campaign 16 - Performance Promotion,2024-09-07,Your Feedback Matters,,Germany,77704,74206,29528,130,307,427,31,924
campaign_46,Campaign 46 - Fall Promotion,2024-09-07,Don't Miss Out on Our Summer Sale,Instagram Ads,France,45991,2350,132,129,313,417,194,156
campaign_4,Campaign 4 - Site Promotion,2024-09-07,Unlock Your Premium Features,FB Ads,United Kingdom,98260,3356,418,344,414,213,103,342
